cells_per_metacell,min_metacells,seed,cell_type,gene,rho
15,10,42,"CD8-positive, alpha-beta T cell",G6PC1,0.015071108466007368
15,10,42,"CD8-positive, alpha-beta T cell",PCK1,0.003668774173957091
15,10,42,"CD8-positive, alpha-beta T cell",CPT1A,-0.008749046170293094
15,10,42,"CD8-positive, alpha-beta T cell",NFKB1,0.01172147955671986
15,10,42,enterocyte of epithelium of large intestine,CYP3A4,0.26371608951916686
15,10,42,enterocyte of epithelium of large intestine,CYP3A5,0.0992181539500305
15,10,42,enterocyte of epithelium of large intestine,CYP2B6,0.3929385361756071
15,10,42,enterocyte of epithelium of large intestine,CYP2C8,0.24245716124076047
15,10,42,enterocyte of epithelium of large intestine,CYP2C9,0.3315888512782377
15,10,42,enterocyte of epithelium of large intestine,CYP1A2,-0.06408717469555085
15,10,42,enterocyte of epithelium of large intestine,CYP7A1,-0.09086038724752364
15,10,42,enterocyte of epithelium of large intestine,UGT1A1,0.3812213118540588
15,10,42,enterocyte of epithelium of large intestine,UGT1A6,0.22531661071499312
15,10,42,enterocyte of epithelium of large intestine,SULT2A1,0.19710673835190656
15,10,42,enterocyte of epithelium of large intestine,GSTA1,0.2848183311259582
15,10,42,enterocyte of epithelium of large intestine,GSTA2,0.15394076896513814
15,10,42,enterocyte of epithelium of large intestine,ABCB1,0.44274108691624814
15,10,42,enterocyte of epithelium of large intestine,ABCC2,0.21841077907172923
15,10,42,enterocyte of epithelium of large intestine,ABCC3,0.0769959012489184
15,10,42,enterocyte of epithelium of large intestine,SLCO1B1,-0.01851674406184937
15,10,42,enterocyte of epithelium of large intestine,G6PC1,0.019933676829091158
15,10,42,enterocyte of epithelium of large intestine,PCK1,-0.0500688437255552
15,10,42,enterocyte of epithelium of large intestine,CPT1A,0.303349960816951
15,10,42,enterocyte of epithelium of large intestine,NFKB1,0.35876170425855797
15,10,42,enterocyte of epithelium of small intestine,CYP3A4,0.45085434914428113
15,10,42,enterocyte of epithelium of small intestine,CYP3A5,0.5079378057317822
15,10,42,enterocyte of epithelium of small intestine,CYP2B6,0.2727135762595914
15,10,42,enterocyte of epithelium of small intestine,CYP2C8,0.09738121997746645
15,10,42,enterocyte of epithelium of small intestine,CYP2C9,0.35332009719219426
15,10,42,enterocyte of epithelium of small intestine,CYP1A2,
15,10,42,enterocyte of epithelium of small intestine,CYP7A1,-0.028117736720514486
15,10,42,enterocyte of epithelium of small intestine,UGT1A1,0.2532671816556494
15,10,42,enterocyte of epithelium of small intestine,UGT1A6,-0.021930825120962918
15,10,42,enterocyte of epithelium of small intestine,SULT2A1,0.38369689533795126
15,10,42,enterocyte of epithelium of small intestine,GSTA1,0.1146039007331989
15,10,42,enterocyte of epithelium of small intestine,GSTA2,0.026811104126347088
15,10,42,enterocyte of epithelium of small intestine,ABCB1,0.4938438373974559
15,10,42,enterocyte of epithelium of small intestine,ABCC2,0.45548646778028457
15,10,42,enterocyte of epithelium of small intestine,ABCC3,0.23338423590354632
15,10,42,enterocyte of epithelium of small intestine,SLCO1B1,
15,10,42,enterocyte of epithelium of small intestine,G6PC1,0.4122043954308166
15,10,42,enterocyte of epithelium of small intestine,PCK1,0.2576293624475408
15,10,42,enterocyte of epithelium of small intestine,CPT1A,0.2152290797466447
15,10,42,enterocyte of epithelium of small intestine,NFKB1,0.054068374648263924
15,10,42,extravillous trophoblast,CYP3A4,-0.00672256880479337
15,10,42,extravillous trophoblast,CYP3A5,0.005199152031082832
15,10,42,extravillous trophoblast,CYP2B6,
15,10,42,extravillous trophoblast,CYP2C8,-0.00672256880479337
15,10,42,extravillous trophoblast,CYP2C9,-0.00952303290344614
15,10,42,extravillous trophoblast,CYP1A2,
15,10,42,extravillous trophoblast,CYP7A1,-0.010655972929816819
15,10,42,extravillous trophoblast,UGT1A1,
15,10,42,extravillous trophoblast,UGT1A6,
15,10,42,extravillous trophoblast,SULT2A1,-0.02934988995407031
15,10,42,extravillous trophoblast,GSTA1,-0.013512719374953113
15,10,42,extravillous trophoblast,GSTA2,-0.02158191825975245
15,10,42,extravillous trophoblast,ABCB1,0.03644239693190698
15,10,42,extravillous trophoblast,ABCC2,0.002044535108316433
15,10,42,extravillous trophoblast,ABCC3,-0.04100202392087165
15,10,42,extravillous trophoblast,SLCO1B1,-0.008240305262648573
15,10,42,extravillous trophoblast,G6PC1,-0.00952303290344614
15,10,42,extravillous trophoblast,PCK1,-0.008240305262648573
15,10,42,extravillous trophoblast,CPT1A,-0.013846871169198912
15,10,42,extravillous trophoblast,NFKB1,0.09520272015694557
15,10,42,hepatocyte,CYP3A4,0.6677805077486477
15,10,42,hepatocyte,CYP3A5,0.8119271694983328
15,10,42,hepatocyte,CYP2B6,0.7060316894275755
