iteration,cell_type,gene,rho
0,macrophage,CYP3A5,0.11479621819545723
0,macrophage,CYP2B6,0.12389761000044769
0,macrophage,CYP2C8,0.13043991695203286
0,macrophage,CYP2C9,0.12852152945171438
0,macrophage,CYP1A2,0.12030719269961455
0,macrophage,CYP7A1,-0.014960214527038966
0,macrophage,UGT1A1,0.1935793318537513
0,macrophage,UGT1A6,0.06554981232412137
0,macrophage,SULT2A1,0.08097648036808014
0,macrophage,GSTA1,-0.0028877465614196504
0,macrophage,GSTA2,0.011870123188290711
0,macrophage,ABCB1,0.04294723092084246
0,macrophage,ABCC2,0.13912669324074148
0,macrophage,ABCC3,-0.008397488459814433
0,macrophage,SLCO1B1,0.10920109744725948
0,macrophage,G6PC1,0.1374493586547424
0,macrophage,PCK1,0.14643578932363582
0,macrophage,CPT1A,-0.05371768798392759
0,macrophage,NFKB1,-0.059135378714501495
0,monocyte,CYP3A4,0.21905468973601766
0,monocyte,CYP3A5,0.16382654818740824
0,monocyte,CYP2B6,0.211873656261346
0,monocyte,CYP2C8,0.1918091044406839
0,monocyte,CYP2C9,0.20476467287238562
0,monocyte,CYP1A2,0.15197590904420533
0,monocyte,CYP7A1,-0.01788273126360964
0,monocyte,UGT1A1,0.22532097989411135
0,monocyte,UGT1A6,0.07278073953885793
0,monocyte,SULT2A1,0.1907765931581798
0,monocyte,GSTA1,0.048776574302691715
0,monocyte,GSTA2,-0.037017134278240126
0,monocyte,ABCB1,0.03275404988918176
0,monocyte,ABCC2,0.2200023307051086
0,monocyte,ABCC3,0.002303882851024483
0,monocyte,SLCO1B1,0.15920940804934952
0,monocyte,G6PC1,0.1670761370915176
0,monocyte,PCK1,0.17295705894214844
0,monocyte,CPT1A,-0.049025827392570394
0,monocyte,NFKB1,-0.0759766064254057
0,natural killer cell,CYP3A4,0.12410932560269428
0,natural killer cell,CYP3A5,0.13059841643158535
0,natural killer cell,CYP2B6,0.13900773688547108
0,natural killer cell,CYP2C8,0.12015973129377175
0,natural killer cell,CYP2C9,0.12345434163037097
0,natural killer cell,CYP1A2,0.1680845069382838
0,natural killer cell,CYP7A1,0.026664429520181006
0,natural killer cell,UGT1A1,0.08695431556672158
0,natural killer cell,UGT1A6,0.07048348367570954
0,natural killer cell,SULT2A1,0.11277570996949823
0,natural killer cell,GSTA1,0.00612642726837363
0,natural killer cell,GSTA2,0.039904541707819
0,natural killer cell,ABCB1,-0.020286062302175653
0,natural killer cell,ABCC2,0.14771995668282906
0,natural killer cell,ABCC3,0.10621160868697696
0,natural killer cell,SLCO1B1,0.1987764318990112
0,natural killer cell,G6PC1,0.1243561529612419
0,natural killer cell,PCK1,0.08636619262402272
0,natural killer cell,CPT1A,-0.037468167342752594
0,natural killer cell,NFKB1,-0.014181575207782028
1,"CD4-positive, alpha-beta T cell",CYP3A4,0.15421085212658375
1,"CD4-positive, alpha-beta T cell",CYP3A5,0.1932780113920036
1,"CD4-positive, alpha-beta T cell",CYP2B6,0.22312745906610396
1,"CD4-positive, alpha-beta T cell",CYP2C8,0.16599849545077686
1,"CD4-positive, alpha-beta T cell",CYP2C9,0.22445416913640862
1,"CD4-positive, alpha-beta T cell",CYP1A2,0.035375132042540544
1,"CD4-positive, alpha-beta T cell",CYP7A1,-0.007695003341531778
1,"CD4-positive, alpha-beta T cell",UGT1A1,0.026626000183603796
1,"CD4-positive, alpha-beta T cell",UGT1A6,0.02212594638584716
1,"CD4-positive, alpha-beta T cell",SULT2A1,0.14175639812165755
1,"CD4-positive, alpha-beta T cell",GSTA1,-0.002115427925074335
1,"CD4-positive, alpha-beta T cell",GSTA2,-0.004066247997662799
1,"CD4-positive, alpha-beta T cell",ABCB1,0.01632402229499651
1,"CD4-positive, alpha-beta T cell",ABCC2,0.16619271211623585
1,"CD4-positive, alpha-beta T cell",ABCC3,0.21114090749597478
1,"CD4-positive, alpha-beta T cell",SLCO1B1,0.1533928694184314
1,"CD4-positive, alpha-beta T cell",G6PC1,0.13674646600117107
1,"CD4-positive, alpha-beta T cell",PCK1,0.14920628773405314
1,"CD4-positive, alpha-beta T cell",CPT1A,0.018474429285872496
1,"CD4-positive, alpha-beta T cell",NFKB1,0.05769097634966914
1,"CD8-positive, alpha-beta T cell",CYP3A4,0.05943736188229421
1,"CD8-positive, alpha-beta T cell",CYP3A5,0.06600792411434421
1,"CD8-positive, alpha-beta T cell",CYP2B6,0.11850777378531713
1,"CD8-positive, alpha-beta T cell",CYP2C8,0.07404800248983086
1,"CD8-positive, alpha-beta T cell",CYP2C9,0.08578575623486077
1,"CD8-positive, alpha-beta T cell",CYP1A2,0.03876498039046079
1,"CD8-positive, alpha-beta T cell",CYP7A1,-0.01143820607697765
1,"CD8-positive, alpha-beta T cell",UGT1A1,0.06097489570233264
1,"CD8-positive, alpha-beta T cell",UGT1A6,0.0467156819007608
1,"CD8-positive, alpha-beta T cell",SULT2A1,0.04340993167432886
1,"CD8-positive, alpha-beta T cell",GSTA1,0.04046640343517406
1,"CD8-positive, alpha-beta T cell",GSTA2,0.0154098228180581
1,"CD8-positive, alpha-beta T cell",ABCB1,-0.040243842911508496
1,"CD8-positive, alpha-beta T cell",ABCC2,0.022532622073031982
1,"CD8-positive, alpha-beta T cell",ABCC3,0.05844511671716427
1,"CD8-positive, alpha-beta T cell",SLCO1B1,0.10480690034620357
1,"CD8-positive, alpha-beta T cell",G6PC1,0.03540815617085441
1,"CD8-positive, alpha-beta T cell",PCK1,-0.00835534025297775
1,"CD8-positive, alpha-beta T cell",CPT1A,0.0032912510709321736
1,"CD8-positive, alpha-beta T cell",NFKB1,-0.017807766642021283
1,enterocyte of epithelium of large intestine,CYP3A4,0.380311710344662
1,enterocyte of epithelium of large intestine,CYP3A5,0.2001276731219847
1,enterocyte of epithelium of large intestine,CYP2B6,0.4400548909668055
1,enterocyte of epithelium of large intestine,CYP2C8,0.23292273857103268
1,enterocyte of epithelium of large intestine,CYP2C9,0.35047874369568643
1,enterocyte of epithelium of large intestine,CYP1A2,-0.0373496956192422
1,enterocyte of epithelium of large intestine,CYP7A1,-0.18426616494699283
1,enterocyte of epithelium of large intestine,UGT1A1,0.3458443191373494
1,enterocyte of epithelium of large intestine,UGT1A6,0.19730231486022454
1,enterocyte of epithelium of large intestine,SULT2A1,0.19009756203177797
1,enterocyte of epithelium of large intestine,GSTA1,0.19378571142207993
1,enterocyte of epithelium of large intestine,GSTA2,0.11954555410542785
1,enterocyte of epithelium of large intestine,ABCB1,0.3651967564599572
1,enterocyte of epithelium of large intestine,ABCC2,0.09721202273046027
1,enterocyte of epithelium of large intestine,ABCC3,0.12699679002569064
1,enterocyte of epithelium of large intestine,SLCO1B1,0.027587896947377614
1,enterocyte of epithelium of large intestine,G6PC1,0.25017714974808436
1,enterocyte of epithelium of large intestine,PCK1,-0.02654338812724029
1,enterocyte of epithelium of large intestine,CPT1A,0.2691822439209776
1,enterocyte of epithelium of large intestine,NFKB1,0.35657976809275993
1,enterocyte of epithelium of small intestine,CYP3A4,0.5836165875158932
1,enterocyte of epithelium of small intestine,CYP3A5,0.7396680655587226
1,enterocyte of epithelium of small intestine,CYP2B6,0.4211852091678701
1,enterocyte of epithelium of small intestine,CYP2C8,0.2360421777558858
1,enterocyte of epithelium of small intestine,CYP2C9,0.5188002533130356
1,enterocyte of epithelium of small intestine,CYP1A2,
1,enterocyte of epithelium of small intestine,CYP7A1,0.020827732254104624
1,enterocyte of epithelium of small intestine,UGT1A1,0.3533609735072639
1,enterocyte of epithelium of small intestine,UGT1A6,0.07545907560623903
1,enterocyte of epithelium of small intestine,SULT2A1,0.45949177176614
1,enterocyte of epithelium of small intestine,GSTA1,0.10922665794510489
1,enterocyte of epithelium of small intestine,GSTA2,-0.004536469436967616
1,enterocyte of epithelium of small intestine,ABCB1,0.5265008557671544
1,enterocyte of epithelium of small intestine,ABCC2,0.5992063779107007
1,enterocyte of epithelium of small intestine,ABCC3,0.41724734087967696
1,enterocyte of epithelium of small intestine,SLCO1B1,
1,enterocyte of epithelium of small intestine,G6PC1,0.5118159822140252
1,enterocyte of epithelium of small intestine,PCK1,0.34124100433670823
1,enterocyte of epithelium of small intestine,CPT1A,0.31312267056588444
1,enterocyte of epithelium of small intestine,NFKB1,0.11712408648102168
1,extravillous trophoblast,CYP3A4,-0.015886625404124548
1,extravillous trophoblast,CYP3A5,0.2163080357217056
1,extravillous trophoblast,CYP2B6,
1,extravillous trophoblast,CYP2C8,-0.01121011291467656
1,extravillous trophoblast,CYP2C9,-0.022561281458391366
1,extravillous trophoblast,CYP1A2,
1,extravillous trophoblast,CYP7A1,-0.022561281458391366
1,extravillous trophoblast,UGT1A1,
1,extravillous trophoblast,UGT1A6,
1,extravillous trophoblast,SULT2A1,0.0169265604500357
1,extravillous trophoblast,GSTA1,-0.030034324942791762
1,extravillous trophoblast,GSTA2,0.05578864257239852
1,extravillous trophoblast,ABCB1,0.07833161372343707
1,extravillous trophoblast,ABCC2,0.10292368082898933
1,extravillous trophoblast,ABCC3,-0.055298125359761606
1,extravillous trophoblast,SLCO1B1,-0.019497782064650734
1,extravillous trophoblast,G6PC1,-0.022561281458391366
1,extravillous trophoblast,PCK1,-0.019497782064650734
1,extravillous trophoblast,CPT1A,0.030609074000507174
1,extravillous trophoblast,NFKB1,0.16627912937464964
1,hepatocyte,CYP3A4,0.739251605546182
1,hepatocyte,CYP3A5,0.8646315606659599
1,hepatocyte,CYP2B6,0.7493481456355775
1,hepatocyte,CYP2C8,0.8029384716984214
1,hepatocyte,CYP2C9,0.8808896365970986
1,hepatocyte,CYP1A2,0.5903088979935326
1,hepatocyte,CYP7A1,0.5498799712134905
1,hepatocyte,UGT1A1,0.12303265902667766
1,hepatocyte,UGT1A6,0.16968156271942056
1,hepatocyte,SULT2A1,0.6547818183273105
