cell_type,gene,mean,std,ci_low,ci_high,n_iter
extravillous trophoblast,ABCC2,0.044100601473822144,0.07481815597289497,-0.0810314788005245,0.17113708001170996,20
extravillous trophoblast,ABCC3,-0.005068274683667681,0.059730359454344475,-0.11846866597457378,0.09287871360565782,20
extravillous trophoblast,CPT1A,0.00581365189500835,0.04788149918393691,-0.09098733506724689,0.07695429965905086,20
extravillous trophoblast,CYP1A2,,,,,20
extravillous trophoblast,CYP2B6,,,,,20
extravillous trophoblast,CYP2C8,-0.01410782668256101,0.002152759262274807,-0.016509683084702298,-0.00984954315212234,20
extravillous trophoblast,CYP2C9,0.006406284990279246,0.07631323272442884,-0.022561341960002992,0.22941828160273042,20
extravillous trophoblast,CYP3A4,-0.013317787159158663,0.0023673903848996404,-0.015886689307771717,-0.009826565074643984,20
extravillous trophoblast,CYP3A5,0.028773815934099785,0.08530884495868431,-0.08299441431617072,0.2224589541579897,20
extravillous trophoblast,CYP7A1,-0.022026421016597856,0.0032684480137233265,-0.026223466564572032,-0.01557586470733836,20
extravillous trophoblast,G6PC1,0.0005966461856707296,0.0606310146191514,-0.02340591013747194,0.1777385477451749,20
extravillous trophoblast,GSTA1,-0.006000675347060766,0.0531080210693348,-0.034341501036368266,0.12492101033129747,20
extravillous trophoblast,GSTA2,0.006519619384629524,0.06473726594013549,-0.047865184911264166,0.12638223748326444,20
extravillous trophoblast,NFKB1,0.13106739502106407,0.037060644466542204,0.059624218844304244,0.17896961484483512,20
extravillous trophoblast,PCK1,-0.017551637872471246,0.0025232078460267694,-0.020867004430582516,-0.012236228657451222,20
extravillous trophoblast,SLCO1B1,-0.015988712821391048,0.003144876081625502,-0.019497834351008683,-0.009872668417643804,20
extravillous trophoblast,SULT2A1,0.014200816441566243,0.07609584410153046,-0.06287734422940316,0.16647861801744568,20
extravillous trophoblast,UGT1A1,,,,,20
extravillous trophoblast,UGT1A6,,,,,20
hepatocyte,ABCB1,0.695283482966419,0.01249094234845597,0.672138973900874,0.7149841505278088,20
hepatocyte,ABCC2,0.8413234214040584,0.011244055807852418,0.8237030352793205,0.8574725726616957,20
hepatocyte,ABCC3,0.7733249019416255,0.01071676000133556,0.7544694468741233,0.7867995226435325,20
hepatocyte,CPT1A,0.7827950682806171,0.015386728346478905,0.7553205535884099,0.8099349329454059,20
hepatocyte,CYP1A2,0.632845027103408,0.028712614774712587,0.5840909375191703,0.6855973292749864,20
hepatocyte,CYP2B6,0.7767011081865418,0.011598739672741472,0.7569171221618926,0.7948842775646343,20
hepatocyte,CYP2C8,0.8259960463801346,0.014009481418485044,0.8041311052952922,0.8487612776799214,20
hepatocyte,CYP2C9,0.899352007369299,0.010398208842082148,0.8799345532900811,0.9206649144262609,20
hepatocyte,CYP3A4,0.7456801878153284,0.015606828440816003,0.719802703259852,0.7698874167911368,20
hepatocyte,CYP3A5,0.8762475998504593,0.00880819280563094,0.8610423643171353,0.8901657360489388,20
hepatocyte,CYP7A1,0.5198997046047157,0.023284225985249388,0.4804039076791827,0.5590774398131542,20
hepatocyte,G6PC1,0.7602983410379013,0.016376146163805668,0.733770579498136,0.792547797920162,20
hepatocyte,GSTA1,-0.06814204910358128,0.03761452497827082,-0.12333892504162557,0.005649921718653827,20
hepatocyte,GSTA2,0.0435446709677718,0.03782528245690772,-0.017789015992916973,0.10111389358701622,20
hepatocyte,NFKB1,0.6961764283009308,0.015914494250116894,0.6721892826394406,0.7185328642440914,20
hepatocyte,PCK1,0.6996450280524116,0.018214478301330588,0.6773458735068087,0.7399507069530799,20
hepatocyte,SLCO1B1,0.8380505823498862,0.011016184263738594,0.8202179153417409,0.8586736592534355,20
hepatocyte,SULT2A1,0.685277727669927,0.017430345299292698,0.6521978398338658,0.7090078815181984,20
hepatocyte,UGT1A1,0.15765723854776476,0.031584753005123416,0.11375859256215311,0.21619202657805767,20
hepatocyte,UGT1A6,0.16794907286440514,0.030963972299092465,0.11604742009582916,0.22756276265127665,20
intestinal crypt stem cell,ABCB1,0.5914007343572114,0.07670871058513798,0.4802908452419826,0.734861057507587,20
intestinal crypt stem cell,ABCC2,0.03342217551465494,0.07621776199404155,-0.09817390106071784,0.17386094991829934,20
intestinal crypt stem cell,ABCC3,0.48281508897393427,0.06008973485366463,0.3892999060165874,0.596373646184648,20
intestinal crypt stem cell,CPT1A,0.5653161971077733,0.08048492771430032,0.43786067682628893,0.7015187479816757,20
intestinal crypt stem cell,CYP1A2,,,,,20
intestinal crypt stem cell,CYP2B6,0.38401513044010926,0.09809998767220143,0.24011461850620158,0.6110134196550824,20
intestinal crypt stem cell,CYP2C8,0.1157494266177749,0.17622969892318932,-0.22592720927561696,0.23896860089805563,20
intestinal crypt stem cell,CYP2C9,0.3659330785327307,0.10843455056632996,0.17448560471635147,0.5416357220747658,20
intestinal crypt stem cell,CYP3A4,0.4161237121145544,0.12593579774846977,0.17386978069990264,0.6346538585384301,20
intestinal crypt stem cell,CYP3A5,0.5881156065274744,0.07312850742493922,0.45716244648168636,0.7028356001246835,20
intestinal crypt stem cell,CYP7A1,,,,,20
intestinal crypt stem cell,G6PC1,0.1319173104613102,0.09621865302934493,-0.01603174274886883,0.3040100386984738,20
intestinal crypt stem cell,GSTA1,0.4799784413418403,0.07782237321316146,0.36867976283160525,0.6130685824493157,20
intestinal crypt stem cell,GSTA2,0.34634231756632017,0.0695012174612011,0.21749085465558152,0.46411988472849386,20
intestinal crypt stem cell,NFKB1,0.5289165760949771,0.0731839763024366,0.4200108566618488,0.651301105370953,20
intestinal crypt stem cell,PCK1,0.49841504583775087,0.07888487412856456,0.33380673794332455,0.6223186133153095,20
intestinal crypt stem cell,SLCO1B1,,,,,20
intestinal crypt stem cell,SULT2A1,0.24463716181967482,0.107008591720375,0.052873108890493625,0.37498162825232073,20
intestinal crypt stem cell,UGT1A1,0.10832214902015616,0.1083598278587115,-0.0801462653144813,0.29519852164019567,20
intestinal crypt stem cell,UGT1A6,0.10994423344403405,0.10501906689488263,-0.12628583189561518,0.2189146776167526,20
macrophage,ABCB1,0.0299902377208897,0.016563400889326237,-0.0008316460249744697,0.055824977218530726,20
macrophage,ABCC2,0.12057895727999704,0.013861277694955623,0.09140098860477068,0.14241265012438875,20
macrophage,ABCC3,-0.0163371718793101,0.008700376851707662,-0.029577803603898167,-0.0015413565821689775,20
macrophage,CPT1A,-0.059073432163577355,0.010042559612309942,-0.07368157196319579,-0.040514680309253974,20
macrophage,CYP1A2,0.12925358823613659,0.015425999640698544,0.09939928463986251,0.1509754541772048,20
macrophage,CYP2B6,0.12900719660604998,0.013446706556599882,0.10642825479206415,0.15208815125534683,20
macrophage,CYP2C8,0.1261726128641088,0.009176619284467342,0.10912282736095605,0.13971749392060323,20
macrophage,CYP2C9,0.1370102441721241,0.010523655349061427,0.1177389775877174,0.1528551436239647,20
macrophage,CYP3A4,0.1845442261781781,0.014796309202684857,0.15321768955757398,0.2019079385881975,20
macrophage,CYP3A5,0.11217783161314136,0.0165462258471539,0.0799789573966868,0.13329612423998985,20
macrophage,CYP7A1,-0.007019471047338408,0.009894909908614042,-0.014793835537735302,0.01657880130656986,20
macrophage,G6PC1,0.11389805954717565,0.01680371169030501,0.08350684550839037,0.13837458406865116,20
macrophage,GSTA1,0.013597734041898749,0.012741514672448433,-0.0048777806257097964,0.03838688298633816,20
macrophage,GSTA2,0.031977468583777834,0.014672777514906907,0.008915404226429256,0.05792044505265425,20
macrophage,NFKB1,-0.0667676347577978,0.008398887093135764,-0.08110058800616313,-0.05350749108892875,20
macrophage,PCK1,0.14246695575662888,0.017490407664653825,0.10844818923000073,0.1678028935288583,20
macrophage,SLCO1B1,0.13252343975400227,0.021866907263519024,0.09884275200758844,0.17108627445860347,20
macrophage,SULT2A1,0.10598839748321362,0.018867425814904366,0.07702292140600872,0.13874278278873278,20
macrophage,UGT1A1,0.1962881156280572,0.013169849203498686,0.17249737370988732,0.2178247830349798,20
macrophage,UGT1A6,0.09164237649852658,0.030019274796134542,0.0456321466683604,0.14208543320192274,20
monocyte,ABCB1,0.0508005871551427,0.018109012250412043,0.020273816448011198,0.07944402560646868,20
